"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs6498482-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,"U95743.1, ERCC4","Egg allergy","egg allergy measurement",GCST002789,16:13893862
HLA-<b>DQA1*0102</b>,"4 x 10-9",(EA),0.19,1.9,'-,[1.0-3.4],'-,"Peanut allergy","peanut allergy measurement",GCST002791,"Mapping not available"
HLA-<b>DQB1*06</b>,"6 x 10-10",(EA),0.25,1.9,'-,[1.1-3.3],'-,"Peanut allergy","peanut allergy measurement",GCST002791,"Mapping not available"
rs115218289-<b>?</b>,"9 x 10-8",,'-,'-,'-,'-,"AC104088.1, AC078883.3","Peanut allergy","peanut allergy measurement",GCST006039,2:172401022
rs523865-<b>?</b>,"2 x 10-7",,'-,'-,'-,'-,ANGPT4,"Peanut allergy","peanut allergy measurement",GCST006039,20:914238
rs144897250-<b>?</b>,"3 x 10-7",,'-,'-,'-,'-,"BOLA3P1, MMP12","Peanut allergy","peanut allergy measurement",GCST006039,11:102879534
rs7936434-<b>?</b>,"3 x 10-7",,'-,'-,'-,'-,"EMSY, AP001189.2","Peanut allergy","peanut allergy measurement",GCST006039,11:76582761
rs78048444-<b>?</b>,"4 x 10-7",,'-,'-,'-,'-,"AC083873.1, RNU6-92P","Peanut allergy","peanut allergy measurement",GCST006039,7:133147459
rs744597-<b>?</b>,"2 x 10-6",,'-,'-,'-,'-,"AC097488.1, ARHGAP24","Peanut allergy","peanut allergy measurement",GCST006039,4:85415875
rs72827854-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,SKAP1,"Peanut allergy","peanut allergy measurement",GCST006039,17:48383163
rs862942-<b>?</b>,"3 x 10-6",,'-,'-,'-,'-,LINC02306,"Peanut allergy","peanut allergy measurement",GCST006039,14:26023027
rs12121623-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,"AC099796.2, AL035415.1","Food allergy","food allergy measurement",GCST002790,1:54465723
rs1318710-<b>?</b>,"3 x 10-6",,NR,'-,'-,'-,EMCN,"Food allergy","food allergy measurement",GCST002790,4:100515044
rs777717-<b>?</b>,"5 x 10-6",,NR,'-,'-,'-,"AC104823.1, AC010983.1","Food allergy","food allergy measurement",GCST002790,2:195090010
rs10994607-<b>?</b>,"7 x 10-6",,NR,'-,'-,'-,RHOBTB1,"Food allergy","food allergy measurement",GCST002790,10:61000984
rs6942407-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,"TMEM243, TP53TG1","Food allergy","food allergy measurement",GCST002790,7:87231997
rs7936434-<b>?</b>,"8 x 10-11","(excluding GERA cohort)",NR,'-,'-,'-,"EMSY, AP001189.2","Food allergy","food allergy measurement",GCST006038,11:76582761
rs523865-<b>?</b>,"4 x 10-8","(excluding GERA cohort)",NR,'-,'-,'-,ANGPT4,"Food allergy","food allergy measurement",GCST006038,20:914238
rs7936070-<b>?</b>,"6 x 10-11","(including GERA cohort)",NR,'-,'-,'-,"EMSY, AP001189.2","Food allergy","food allergy measurement",GCST006038,11:76582483
rs115218289-<b>?</b>,"2 x 10-8","(excluding GERA cohort)",NR,'-,'-,'-,"AC104088.1, AC078883.3","Food allergy","food allergy measurement",GCST006038,2:172401022
rs78048444-<b>?</b>,"3 x 10-6","(excluding GERA cohort)",NR,'-,'-,'-,"AC083873.1, RNU6-92P","Food allergy","food allergy measurement",GCST006038,7:133147459
rs200314279-<b>?</b>,"6 x 10-7","(excluding GERA cohort)",NR,'-,'-,'-,SKAP1,"Food allergy","food allergy measurement",GCST006038,17:48369180
rs9275596-<b>C</b>,"6 x 10-11",(EA),0.35,1.7,'-,[1.40-2.10],"MTCO3P1, AL662789.1","Peanut allergy","peanut allergy measurement",GCST002791,6:32713854
